,economy,measure,vehicle_type,medium,transport_type,scenario,unit,date,fuel,frequency,unit.1,scope,comment,dataset,drive,value
16408,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16409,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16410,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16411,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16412,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16413,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16414,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16415,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16416,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16417,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16418,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16419,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16420,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16421,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16422,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16423,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16424,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16425,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16426,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16427,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16428,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16429,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16430,07_INA,energy,mt,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16431,07_INA,energy,mt,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16432,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16433,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16434,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16435,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16436,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16437,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16438,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16439,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16440,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16441,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16442,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16443,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16444,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16445,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16446,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16447,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16448,07_INA,energy,suv,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16449,07_INA,energy,suv,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16450,07_INA,energy,2w,road,freight,reference,pj,2065,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16451,07_INA,energy,2w,road,freight,target,pj,2065,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
