Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2018,01_AUS,Reference,freight,ht,cng,0.0788075461608074
2019,01_AUS,Reference,freight,ht,cng,0.0796035819806135
2020,01_AUS,Reference,freight,ht,cng,0.0804076585662763
2021,01_AUS,Reference,freight,ht,cng,0.0808117171520365
2022,01_AUS,Reference,freight,ht,cng,0.0812178061829512
2023,01_AUS,Reference,freight,ht,cng,0.0816259358622625
2024,01_AUS,Reference,freight,ht,cng,0.082036116444485
2025,01_AUS,Reference,freight,ht,cng,0.0824483582356633
2026,01_AUS,Reference,freight,ht,cng,0.0828626715936314
2027,01_AUS,Reference,freight,ht,cng,0.0832790669282728
2028,01_AUS,Reference,freight,ht,cng,0.0836975547017817
2029,01_AUS,Reference,freight,ht,cng,0.0841181454289263
2030,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2031,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2032,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2033,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2034,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2035,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2036,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2037,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2038,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2039,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2040,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2041,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2042,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2043,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2044,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2045,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2046,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2047,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2048,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2049,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2050,01_AUS,Reference,freight,ht,cng,0.0845408496773129
2018,01_AUS,Reference,freight,ht,d,0.113833082926277
2019,01_AUS,Reference,freight,ht,d,0.114982912046745
2020,01_AUS,Reference,freight,ht,d,0.116144355602773
2021,01_AUS,Reference,freight,ht,d,0.116727995580676
2022,01_AUS,Reference,freight,ht,d,0.11731456842279
2023,01_AUS,Reference,freight,ht,d,0.117904088867126
2024,01_AUS,Reference,freight,ht,d,0.118496571725754
2025,01_AUS,Reference,freight,ht,d,0.11909203188518
2026,01_AUS,Reference,freight,ht,d,0.119690484306714
2027,01_AUS,Reference,freight,ht,d,0.120291944026848
2028,01_AUS,Reference,freight,ht,d,0.120896426157636
2029,01_AUS,Reference,freight,ht,d,0.121503945887072
2030,01_AUS,Reference,freight,ht,d,0.122114518479469
2031,01_AUS,Reference,freight,ht,d,0.122114518479469
2032,01_AUS,Reference,freight,ht,d,0.122114518479469
2033,01_AUS,Reference,freight,ht,d,0.122114518479469
2034,01_AUS,Reference,freight,ht,d,0.122114518479469
2035,01_AUS,Reference,freight,ht,d,0.122114518479469
2036,01_AUS,Reference,freight,ht,d,0.122114518479469
2037,01_AUS,Reference,freight,ht,d,0.122114518479469
2038,01_AUS,Reference,freight,ht,d,0.122114518479469
