transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,17_SIN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,17_SIN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,17_SIN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,17_SIN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,17_SIN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,17_SIN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,18_CT,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,18_CT,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,18_CT,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,18_CT,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,18_CT,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,18_CT,Yearly
