transport_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,09_ROK,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,10_MAS,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,11_MEX,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,12_NZ,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,13_PNG,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,14_PE,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,15_RP,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,16_RUS,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,17_SIN,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,18_CT,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,19_THA,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,20_USA,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,21_VN,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,01_AUS,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,02_BD,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,03_CDA,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,04_CHL,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,05_PRC,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,06_HKC,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,07_INA,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,08_JPN,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,09_ROK,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,10_MAS,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,11_MEX,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,12_NZ,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,13_PNG,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,14_PE,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,15_RP,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,16_RUS,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,17_SIN,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,18_CT,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,19_THA,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,20_USA,Yearly
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,69242712.82449043,21_VN,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,01_AUS,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,02_BD,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,03_CDA,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,04_CHL,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,05_PRC,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,06_HKC,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,07_INA,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,08_JPN,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,09_ROK,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,10_MAS,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,11_MEX,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,12_NZ,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,13_PNG,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,14_PE,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,15_RP,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,16_RUS,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,17_SIN,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,18_CT,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,19_THA,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,20_USA,Yearly
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,67529528.88334937,21_VN,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,01_AUS,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,02_BD,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,03_CDA,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,04_CHL,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,05_PRC,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,06_HKC,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,07_INA,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,08_JPN,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,09_ROK,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,10_MAS,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,11_MEX,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,12_NZ,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,13_PNG,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,14_PE,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,15_RP,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,16_RUS,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,17_SIN,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,18_CT,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,19_THA,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,20_USA,Yearly
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,303756666.42847246,21_VN,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,01_AUS,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,02_BD,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,03_CDA,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,04_CHL,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,05_PRC,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,06_HKC,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,07_INA,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,08_JPN,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,09_ROK,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,10_MAS,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,11_MEX,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,12_NZ,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,13_PNG,Yearly
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,296241203.47630835,14_PE,Yearly
