transport_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,02_BD,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,02_BD,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,02_BD,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,02_BD,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,02_BD,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,02_BD,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,03_CDA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,04_CHL,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,05_PRC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,06_HKC,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,07_INA,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,08_JPN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,09_ROK,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,09_ROK,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,09_ROK,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,09_ROK,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,09_ROK,Yearly
