,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,scenario,unit.1,dataset,value,dataset_selection_method,comment
74,2012,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
75,2012,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
76,2012,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
77,2012,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
78,2013,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
79,2013,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
80,2013,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
81,2013,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
82,2013,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
83,2014,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
84,2014,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
85,2014,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
86,2014,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
87,2014,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
88,2015,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
89,2015,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
90,2015,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
91,2015,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
92,2015,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
93,2016,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
94,2016,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
95,2016,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
96,2016,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
97,2016,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
98,2017,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
99,2017,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
100,2017,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,"['8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data ice_split', 'ato  country_official_statistics $ iea_ev_explorer_no_data ice_split']",2,0.0,,,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
101,2017,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
102,2017,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
103,2018,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
104,2018,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
105,2018,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
106,2018,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
107,2018,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
108,2019,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
109,2019,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
110,2019,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
111,2019,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
112,2019,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
113,2020,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
114,2020,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
115,2020,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
116,2020,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
117,2020,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
118,2021,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
119,2021,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
120,2021,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
121,2021,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
122,2022,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
123,2022,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
