,Date,Economy,Measure,Vehicle Type,Unit,Medium,Transport Type,Drive,Fuel_Type,Frequency,Scope,level_0,index,Final_dataset_selection_method,Value,Dataset
102,2016-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,7065.0,not enough values to interpolate,,
103,2017-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,8242.0,Manual,0.0008413933031983,8th edition transport model $ Reference
104,2018-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,9419.0,not enough values to interpolate,,
105,2019-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,10596.0,not enough values to interpolate,,
106,2020-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,11773.0,not enough values to interpolate,,
107,2021-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,12950.0,not enough values to interpolate,,
108,2010-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,4.0,not enough values to interpolate,,
109,2011-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,1181.0,not enough values to interpolate,,
110,2012-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,2358.0,not enough values to interpolate,,
111,2013-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,3535.0,not enough values to interpolate,,
112,2014-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,4712.0,not enough values to interpolate,,
113,2015-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,5889.0,not enough values to interpolate,,
114,2016-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,7066.0,not enough values to interpolate,,
115,2017-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,8243.0,Manual,3.2948425396128203,8th edition transport model $ Reference
116,2018-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,9420.0,not enough values to interpolate,,
117,2019-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,10597.0,not enough values to interpolate,,
118,2020-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,11774.0,not enough values to interpolate,,
119,2021-12-31,01_AUS,Energy,ldv,PJ,road,freight,lpg,,Yearly,National,,12951.0,not enough values to interpolate,,
120,2010-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,5.0,not enough values to interpolate,,
121,2011-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,1182.0,not enough values to interpolate,,
122,2012-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,2359.0,not enough values to interpolate,,
123,2013-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,3536.0,not enough values to interpolate,,
124,2014-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,4713.0,not enough values to interpolate,,
125,2015-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,5890.0,not enough values to interpolate,,
126,2016-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,7067.0,not enough values to interpolate,,
127,2017-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,8244.0,Manual,0.0094140884463084,8th edition transport model $ Reference
128,2018-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,9421.0,not enough values to interpolate,,
129,2019-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,10598.0,not enough values to interpolate,,
130,2020-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,11775.0,not enough values to interpolate,,
131,2021-12-31,01_AUS,Energy,ldv,PJ,road,passenger,bev,,Yearly,National,,12952.0,not enough values to interpolate,,
132,2010-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,6.0,not enough values to interpolate,,
133,2011-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,1183.0,not enough values to interpolate,,
134,2012-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,2360.0,not enough values to interpolate,,
135,2013-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,3537.0,not enough values to interpolate,,
136,2014-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,4714.0,not enough values to interpolate,,
137,2015-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,5891.0,not enough values to interpolate,,
138,2016-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,7068.0,not enough values to interpolate,,
139,2017-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,8245.0,Manual,27.309988826184345,8th edition transport model $ Carbon neutrality
140,2018-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,9422.0,not enough values to interpolate,,
141,2019-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,10599.0,not enough values to interpolate,,
142,2020-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,11776.0,not enough values to interpolate,,
143,2021-12-31,01_AUS,Energy,ldv,PJ,road,passenger,lpg,,Yearly,National,,12953.0,not enough values to interpolate,,
144,2010-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,7.0,not enough values to interpolate,,
145,2011-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,1184.0,not enough values to interpolate,,
146,2012-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,2361.0,not enough values to interpolate,,
147,2013-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,3538.0,not enough values to interpolate,,
148,2014-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,4715.0,not enough values to interpolate,,
149,2015-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,5892.0,not enough values to interpolate,,
150,2016-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,7069.0,not enough values to interpolate,,
151,2017-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,8246.0,Automatic,0.0,8th edition transport model $ Reference
152,2018-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,9423.0,not enough values to interpolate,,
153,2019-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,10600.0,not enough values to interpolate,,
154,2020-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,11777.0,not enough values to interpolate,,
155,2021-12-31,01_AUS,Energy,nonspecified,PJ,nonspecified,nonspecified,nonspecified,,Yearly,National,,12954.0,not enough values to interpolate,,
156,2010-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,8.0,not enough values to interpolate,,
157,2011-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,1185.0,not enough values to interpolate,,
158,2012-12-31,01_AUS,Energy,,PJ,air,freight,,,Yearly,National,,2362.0,not enough values to interpolate,,
