,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
1544,2020,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),4.30521694214876,single_datapoint,no_comment
1545,2021,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1546,2021,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),6975000000.0,single_datapoint,no_comment
1547,2021,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),10462500000.0,single_datapoint,no_comment
1548,2021,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),7.62638429752066,single_datapoint,no_comment
1549,2022,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),12375000000.0,single_datapoint,no_comment
1550,2022,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1551,2022,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),18562500000.0,single_datapoint,no_comment
1552,2022,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),13.530681818181817,single_datapoint,no_comment
1553,2010,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,cng,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,9596641831.33571,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,293974732.750243,manual,usa_data
