Unit,Date,Value,Economy,Measure,Frequency,Dataset,Source
GDP_billions_international_dollars_PPP,2004-12-31,26.537,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2005-12-31,0.64,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2005-12-31,10.561,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2005-12-31,27.475,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2006-12-31,0.683,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2006-12-31,12.71,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2006-12-31,29.568,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2007-12-31,0.672,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2007-12-31,13.571,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2007-12-31,30.414,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2008-12-31,0.744,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2008-12-31,15.949,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2008-12-31,30.396,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2009-12-31,0.576,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2009-12-31,11.892,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2009-12-31,30.051,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2010-12-31,0.599,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2010-12-31,13.707,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2010-12-31,31.203,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2011-12-31,0.705,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2011-12-31,18.525,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2011-12-31,33.044,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2012-12-31,0.676,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2012-12-31,19.048,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2012-12-31,35.21,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2013-12-31,0.668,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2013-12-31,18.094,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2013-12-31,33.885,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2014-12-31,0.65,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2014-12-31,17.098,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2014-12-31,33.344,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2015-12-31,0.685,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2015-12-31,12.93,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2015-12-31,25.949,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2016-12-31,0.666,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2016-12-31,11.4,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2016-12-31,23.633,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2017-12-31,0.647,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2017-12-31,12.128,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2017-12-31,25.891,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2018-12-31,0.69,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2018-12-31,13.567,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2018-12-31,26.523,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2019-12-31,0.655,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2019-12-31,13.469,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2019-12-31,28.042,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2020-12-31,0.577,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2020-12-31,12.006,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2020-12-31,28.702,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2021-12-31,0.64,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2021-12-31,14.006,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2021-12-31,29.419,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2022-12-31,0.795,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2022-12-31,18.464,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
