Economy,Transport Type,Medium,Vehicle Type,Drive,Date,Share,Scenario
15_PHL,passenger,road,lt,phev_d,2056,0.031437947980474536,Reference
15_PHL,passenger,road,lt,phev_g,2056,0.013961139979303904,Reference
15_PHL,passenger,road,suv,bev,2056,0.8089723690127024,Reference
15_PHL,passenger,road,suv,phev_d,2056,0.028251984572921503,Reference
15_PHL,passenger,road,suv,phev_g,2056,0.019651771672815125,Reference
15_PHL,passenger,road,2w,bev,2057,0.7213767984169077,Reference
15_PHL,passenger,road,bus,bev,2057,0.24539225006605028,Reference
15_PHL,passenger,road,car,bev,2057,0.7213767984169077,Reference
15_PHL,passenger,road,car,phev_d,2057,0.000747041547999542,Reference
15_PHL,passenger,road,car,phev_g,2057,0.034796734561004274,Reference
15_PHL,passenger,road,lt,bev,2057,0.9311301151949131,Reference
15_PHL,passenger,road,lt,phev_d,2057,0.03214848836213088,Reference
15_PHL,passenger,road,lt,phev_g,2057,0.01427668073073632,Reference
15_PHL,passenger,road,suv,bev,2057,0.9525325650565111,Reference
15_PHL,passenger,road,suv,phev_d,2057,0.027994657305374822,Reference
15_PHL,passenger,road,suv,phev_g,2057,0.019472777638114155,Reference
15_PHL,passenger,road,2w,bev,2058,0.8687579192098087,Reference
15_PHL,passenger,road,bus,bev,2058,0.24696427538416957,Reference
15_PHL,passenger,road,car,bev,2058,0.8687579192098087,Reference
15_PHL,passenger,road,car,phev_d,2058,0.0007558945996811321,Reference
15_PHL,passenger,road,car,phev_g,2058,0.035209104248130875,Reference
15_PHL,passenger,road,lt,bev,2058,0.9597262246481651,Reference
15_PHL,passenger,road,lt,phev_d,2058,0.027888772911253964,Reference
15_PHL,passenger,road,lt,phev_g,2058,0.01238500244058099,Reference
15_PHL,passenger,road,suv,bev,2058,0.9597510479078295,Reference
15_PHL,passenger,road,suv,phev_d,2058,0.023737444883259223,Reference
15_PHL,passenger,road,suv,phev_g,2058,0.016511507208911293,Reference
15_PHL,passenger,road,2w,bev,2059,1.0,Reference
15_PHL,passenger,road,bus,bev,2059,0.24854637136915037,Reference
