economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,value,drive
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,6919.140158955385,phev_g
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,15580.645184369605,phev_d
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,50.21465667500852,phev_d
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,1153.3945834817425,phev_g
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,2597.234822529727,phev_d
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,8.370593988530246,phev_d
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,3576.834274463069,phev_g
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,5142.165725536931,phev_d
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,596.4809077955388,phev_g
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,857.5190922044612,phev_d
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,12535.870828332982,phev_g
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,269.12917166701783,phev_d
