,vehicle_type,drive,transport_type,economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,value
163,all,all,freight,19_THA,2003,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,4057000000.0
164,all,all,freight,19_THA,2004,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,4037000000.0
165,all,all,freight,19_THA,2005,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,4037000000.0
166,all,all,freight,19_THA,2007,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,3161000000.0
167,all,all,freight,19_THA,2010,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2701000000.0
168,all,all,freight,19_THA,2011,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2562000000.0
169,all,all,freight,19_THA,2014,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2294930000.0
170,all,all,freight,19_THA,2015,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2545330000.0
171,all,all,freight,19_THA,2016,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2646550000.0
172,all,all,freight,19_THA,2017,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2846140000.0
173,all,all,freight,19_THA,2018,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2769130000.0
174,all,all,freight,19_THA,2014,ship,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,7993440000.0
175,all,all,freight,19_THA,2015,ship,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,7160720000.0
176,all,all,freight,19_THA,2016,ship,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,7056380000.0
177,all,all,freight,19_THA,2017,ship,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,7403770000.0
178,all,all,freight,19_THA,2018,ship,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,7808170000.0
179,all,all,freight,19_THA,2018,ship,activity,"ato $ un_statistics_division,_itf",passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,2371863124.66408
180,all,all,freight,19_THA,1990,air,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,661000000.0
181,all,all,freight,19_THA,1991,air,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,866200012.207
182,all,all,freight,19_THA,1992,air,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,925900024.4141
183,all,all,freight,19_THA,1993,air,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,1060300048.8281
184,all,all,freight,19_THA,1994,air,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,1236699951.1719
185,all,all,freight,19_THA,1995,air,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,1307900024.4141
