Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,passenger,2w,g,2017-12-31,18_CT,Yearly,Stocks,Stocks,13616192.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,18_CT,Yearly,Stocks,Stocks,24.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,18_CT,Yearly,Stocks,Stocks,4802.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,18_CT,Yearly,Stocks,Stocks,28735.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,19_THA,Yearly,Stocks,Stocks,171112.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,19_THA,Yearly,Stocks,Stocks,805020.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,19_THA,Yearly,Stocks,Stocks,669.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,19_THA,Yearly,Stocks,Stocks,63336.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,19_THA,Yearly,Stocks,Stocks,53072.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,19_THA,Yearly,Stocks,Stocks,21176375.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,19_THA,Yearly,Stocks,Stocks,13.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,19_THA,Yearly,Stocks,Stocks,25691.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,19_THA,Yearly,Stocks,Stocks,91726.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,19_THA,Yearly,Stocks,Stocks,4124.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,19_THA,Yearly,Stocks,Stocks,17053.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,phevd,2017-12-31,19_THA,Yearly,Stocks,Stocks,13.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,20_USA,Yearly,Stocks,Stocks,82.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,20_USA,Yearly,Stocks,Stocks,29825.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,20_USA,Yearly,Stocks,Stocks,8765705.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,20_USA,Yearly,Stocks,Stocks,2349469.0,8th edition transport model $ Reference,National,,,
