Economy,Scenario,Transport Type,Year,Vehicle Type,Drive,Value
06_HKC,Carbon Neutral,freight,2017,ht,lpg,0.0
05_PRC,Reference,passenger,2017,lv,lpg,0.014530330482045906
05_PRC,Reference,passenger,2017,lv,phevg,0.056569314640966685
05_PRC,Reference,freight,2017,ht,phevd,0.000999716857245908
05_PRC,Reference,passenger,2017,bus,phevd,0.06958593453571346
06_HKC,Carbon Neutral,freight,2017,ht,bev,0.011627906976744033
06_HKC,Carbon Neutral,freight,2017,ht,cng,0.0
06_HKC,Carbon Neutral,freight,2017,ht,d,0.43023255813953587
06_HKC,Carbon Neutral,freight,2017,ht,fcev,0.0
06_HKC,Carbon Neutral,freight,2017,ht,g,0.058139534883720145
06_HKC,Carbon Neutral,freight,2017,lt,bev,0.00813008130081302
05_PRC,Reference,passenger,2017,lv,fcev,0.0001684322791402863
06_HKC,Carbon Neutral,freight,2017,lt,cng,0.0
06_HKC,Carbon Neutral,freight,2017,lt,d,0.4715447154471544
06_HKC,Carbon Neutral,freight,2017,lt,fcev,0.0
06_HKC,Carbon Neutral,freight,2017,lt,g,0.020325203252032555
06_HKC,Carbon Neutral,freight,2017,lt,lpg,0.0
06_HKC,Carbon Neutral,freight,2017,lt,phevg,0.0
06_HKC,Carbon Neutral,passenger,2017,2w,bev,0.0004619391616295632
06_HKC,Carbon Neutral,passenger,2017,2w,g,0.03565777188068208
06_HKC,Carbon Neutral,passenger,2017,bus,bev,0.0
05_PRC,Reference,freight,2017,lt,bev,0.00798314766157166
11_MEX,Carbon Neutral,freight,2017,ht,phevd,0.0
03_CDA,Reference,freight,2017,lt,g,0.21649923290866302
09_ROK,Reference,passenger,2017,lt,cng,0.00092203987148128
06_HKC,Reference,freight,2017,ht,fcev,0.0
06_HKC,Carbon Neutral,passenger,2017,lv,bev,0.015137662808747624
06_HKC,Carbon Neutral,passenger,2017,bus,g,0.0
08_JPN,Reference,passenger,2017,lt,g,0.0
06_HKC,Carbon Neutral,passenger,2017,lt,bev,0.1751200741836664
06_HKC,Carbon Neutral,passenger,2017,lt,cng,0.0
06_HKC,Carbon Neutral,passenger,2017,lt,d,0.018448080986780697
06_HKC,Carbon Neutral,passenger,2017,lt,fcev,0.0
06_HKC,Carbon Neutral,passenger,2017,lt,g,0.0013357713193656545
06_HKC,Reference,freight,2017,ht,g,0.02890173410407109
06_HKC,Carbon Neutral,passenger,2017,lt,lpg,0.0009926777728635381
06_HKC,Carbon Neutral,passenger,2017,lv,cng,0.0
06_HKC,Reference,freight,2017,ht,d,0.2124277456649244
06_HKC,Carbon Neutral,passenger,2017,lv,d,0.0017199862401100765
06_HKC,Carbon Neutral,passenger,2017,lv,fcev,0.0
06_HKC,Carbon Neutral,passenger,2017,lv,g,0.5276494723039048
06_HKC,Carbon Neutral,passenger,2017,lv,lpg,0.0
06_HKC,Carbon Neutral,passenger,2017,lv,phevg,0.2205476724876621
06_HKC,Carbon Neutral,freight,2017,ht,phevd,0.0
06_HKC,Carbon Neutral,passenger,2017,bus,phevd,0.0
06_HKC,Carbon Neutral,passenger,2017,lt,phevg,0.0
06_HKC,Reference,freight,2017,ht,bev,0.008670520231221326
06_HKC,Reference,freight,2017,ht,lpg,0.0
