,Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency_x,Measure,Unit_x,Dataset,Scope,Comments,Fuel,Source,Value,Frequency_y,Unit_y,_merge
6538,road,passenger,suv,fcev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6539,road,passenger,suv,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6540,road,passenger,suv,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6541,road,passenger,suv,lpg,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6542,road,passenger,suv,phev_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6543,road,passenger,suv,phev_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6544,road,freight,ht,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6545,road,freight,ht,cng,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6546,road,freight,ht,fcev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6547,road,freight,ht,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6548,road,freight,ht,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6549,road,freight,ht,lpg,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6550,road,freight,ht,phev_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6551,road,freight,ht,phev_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6552,road,freight,lcv,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6553,road,freight,lcv,cng,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6554,road,freight,lcv,fcev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6555,road,freight,lcv,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6556,road,freight,lcv,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6557,road,freight,lcv,lpg,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6558,road,freight,lcv,phev_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6559,road,freight,lcv,phev_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6560,road,freight,mt,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6561,road,freight,mt,cng,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6562,road,freight,mt,fcev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6563,road,freight,mt,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6564,road,freight,mt,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6565,road,freight,mt,lpg,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6566,road,freight,mt,phev_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6567,road,freight,mt,phev_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6568,road,freight,2w,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6569,road,freight,2w,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6570,road,freight,2w,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6571,road,passenger,2w,bev,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6572,road,passenger,2w,ice_d,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6573,road,passenger,2w,ice_g,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6574,road,passenger,bus,bev,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6575,road,passenger,bus,cng,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6576,road,passenger,bus,fcev,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6577,road,passenger,bus,ice_d,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6578,road,passenger,bus,ice_g,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6579,road,passenger,bus,lpg,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6580,road,passenger,bus,phev_d,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6581,road,passenger,bus,phev_g,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6582,road,passenger,car,bev,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6583,road,passenger,car,cng,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6584,road,passenger,car,fcev,2017-12-31,04_CHL,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
