,date,medium,measure,transport_type,unit,vehicle_type,scope,frequency,economy,fuel,comment,dataset,drive,value
7067,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,616301612.219658
7068,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,292548601.68611974
7069,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,372831971.2945805
7070,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,382290496.42466366
7071,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,243005333.142778
7072,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,47667902.7411878
7073,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,43074050.903582335
7074,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,68325430.329431
7075,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,123960665.18509032
7076,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,58842161.93004909
7077,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,74990066.95356904
7078,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,76892520.30359711
7079,2020,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,48877209.052581474
7080,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,57201483.28942536
7081,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,51688861.0842988
7082,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,81990516.3953172
7083,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,148752798.22210836
7084,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,70610594.31605889
7085,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,89988080.34428284
7086,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,92271024.36431654
7087,2020,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,58652650.86309777
7088,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,160120818.75335357
7089,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,144689652.80794245
7090,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,229511331.87931597
7091,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,416395143.5080988
7092,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,197656171.21048304
7093,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,251898452.1758524
7094,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,258288965.92890123
7095,2020,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,164182988.59026232
7096,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,171379208.62265775
7097,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,154863048.95997757
7098,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,245648696.6132599
7099,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,445672653.4646287
7100,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,211553740.88872293
7101,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,269609896.5973206
7102,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,276449739.15006673
7103,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,175726997.10738078
7104,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,538620369.9569243
7105,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,67529528.88334937
7106,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,486712439.5885009
7107,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,61021572.11340829
7108,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,772038760.784531
7109,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,96794359.63336056
7110,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,1400685482.3174047
7111,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,175610942.34554458
7112,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,664883185.6502721
7113,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,83359729.40090285
7114,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,847345389.3058648
7115,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,106235928.1842228
7116,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,868842037.3287809
7117,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,108931070.43009593
7118,2021,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,552284848.0517681
7119,2021,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,69242712.82449043
7120,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,538620369.9569243
7121,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,486712439.5885009
7122,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,772038760.784531
7123,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,1400685482.3174047
7124,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,664883185.6502721
7125,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,847345389.3058648
7126,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,868842037.3287809
7127,2021,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,552284848.0517681
7128,2021,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,296241203.47630835
7129,2021,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,267691841.77367547
7130,2021,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,424621318.431492
7131,2021,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,770377015.2745725
