Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
20_USA,2018-12-31,National,Yearly,passenger,road,ldv,g,0.9835088448693454,217403505.02425027,LdvEv_est,8th/IeaEv
20_USA,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.0006866886975218138,151791.75101532697,LdvEv_est,8th/IeaEv
20_USA,2018-12-31,National,Yearly,passenger,road,ldv,phevg,0.0017309292824465702,382619.9377017152,LdvEv_est,8th/IeaEv
01_AUS,2019-12-31,National,Yearly,passenger,road,ldv,bev,0.0009364466930780434,15812.658125104077,LdvEv_est,8th/IeaEv
01_AUS,2019-12-31,National,Yearly,passenger,road,ldv,cng,0.0022574884504184675,38119.51427849531,LdvEv_est,8th/IeaEv
01_AUS,2019-12-31,National,Yearly,passenger,road,ldv,d,0.17782708691532173,3002753.869024348,LdvEv_est,8th/IeaEv
01_AUS,2019-12-31,National,Yearly,passenger,road,ldv,g,0.7946642551425483,13418547.242135828,LdvEv_est,8th/IeaEv
01_AUS,2019-12-31,National,Yearly,passenger,road,ldv,lpg,0.020235272239989263,341688.9016369164,LdvEv_est,8th/IeaEv
01_AUS,2019-12-31,National,Yearly,passenger,road,ldv,phevg,0.0020801152025201014,35124.423847520346,LdvEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,ldv,bev,0.0034969641331365465,85994.37303954492,LdvEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,ldv,cng,0.0015134385542106483,37217.19601581574,LdvEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,ldv,d,0.01182435495858762,290774.4982642269,LdvEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,ldv,fcev,1.1072363661585966e-05,272.2821667289734,LdvEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,ldv,g,0.9711270728837151,23881132.489471443,LdvEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,ldv,lpg,0.00550155038678576,135289.45629555703,LdvEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,ldv,phevg,0.0017308852288931082,42564.46002737999,LdvEv_est,8th/IeaEv
04_CHL,2019-12-31,National,Yearly,passenger,road,ldv,bev,0.00013413282732168801,621.7200068485473,LdvEv_est,8th/IeaEv
04_CHL,2019-12-31,National,Yearly,passenger,road,ldv,cng,0.0032989363263476795,15290.922858808413,LdvEv_est,8th/IeaEv
04_CHL,2019-12-31,National,Yearly,passenger,road,ldv,d,0.20031342407233962,928474.1541116699,LdvEv_est,8th/IeaEv
04_CHL,2019-12-31,National,Yearly,passenger,road,ldv,g,0.7850241116070827,3638670.7548787706,LdvEv_est,8th/IeaEv
04_CHL,2019-12-31,National,Yearly,passenger,road,ldv,lpg,0.008248419322579787,38232.306141024834,LdvEv_est,8th/IeaEv
04_CHL,2019-12-31,National,Yearly,passenger,road,ldv,phevg,0.0018410109549743328,8533.282764478216,LdvEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,ldv,bev,0.0106574279211841,2092568.0678455904,LdvEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,ldv,cng,0.08139876068820628,15982509.911211347,LdvEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,ldv,d,0.0342473168094995,6724403.120052988,LdvEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,ldv,fcev,5.848775751223573e-05,11483.972928094865,LdvEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,ldv,g,0.7860128396367828,154332300.56111172,LdvEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,ldv,lpg,0.00761094734512013,1494396.7248227978,LdvEv_est,8th/IeaEv
