Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,passenger,ldv,fcev,2017-12-31,18_CT,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,18_CT,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,18_CT,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,18_CT,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,19_THA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,19_THA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,19_THA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,19_THA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,19_THA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,19_THA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,19_THA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,20_USA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,20_USA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,20_USA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,20_USA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,20_USA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,20_USA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,20_USA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,21_VN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,21_VN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,21_VN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
