Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,bev,0.24992344295116303,223979.3901852887,BusEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,cng,0.10089601335428121,90422.19999999998,BusEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,d,0.12698227611940296,113800.49999999999,BusEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,fcev,0.0011678858994501177,1046.6499999999999,BusEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,g,0.1758223684210526,157570.59999999995,BusEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,lpg,0.013092228004713274,11733.149999999998,BusEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,phevd,0.02618200117831893,23464.1,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,bev,0.03376654140670677,17149.215983472608,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,bev,0.024584776260691957,12486.017828175189,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,cng,0.07623650261087352,38718.689999999995,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,d,0.761667355811261,386832.57,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,fcev,0.00023438792146114403,119.03999999999999,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,g,0.05631536044231269,28601.219999999998,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,lpg,0.0025233324669801287,1281.5399999999997,BusEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,passenger,road,bus,phevd,0.012114925690522882,6152.879999999999,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,bev,0.3580063880241926,348955.628528553,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,bev,0.2627351164797239,256092.91,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,cng,0.05344124819563382,52090.2,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,d,0.06613536824459151,64463.399999999994,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,fcev,0.003707037618021194,3613.32,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,g,0.13724533942602943,133775.63999999998,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,lpg,0.0064176034323738425,6255.36,BusEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,passenger,road,bus,phevd,0.02393785285810577,23332.679999999997,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,bev,0.11796854939039562,63739.94082677283,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,bev,0.17600252661974375,95096.4531654936,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,cng,0.05028973946582814,27172.2,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,d,0.5139557626782993,277696.98,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,fcev,0.002131542272719701,1151.6999999999998,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,g,0.039814033717493376,21512.039999999997,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,lpg,0.002191396468343349,1184.04,BusEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,passenger,road,bus,phevd,0.011973282153122355,6469.319999999999,BusEv_est,8th/IeaEv
