,economy,date,medium,measure,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,dataset,drive,value
19310,12_NZ,2007,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19311,12_NZ,2008,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19312,12_NZ,2009,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19313,12_NZ,2010,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19314,12_NZ,2011,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19315,12_NZ,2012,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19316,12_NZ,2013,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19317,12_NZ,2014,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19318,12_NZ,2015,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19319,12_NZ,2016,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19320,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19321,12_NZ,2018,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19322,12_NZ,2019,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19323,12_NZ,2020,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19324,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19325,17_SIN,1990,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,103.26355086233606
19326,17_SIN,1991,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,106.33498640847884
19327,17_SIN,1992,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,107.39583034201196
19328,17_SIN,1993,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,110.88325035972916
