Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Year,Value
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2005,3813942.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2005,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2005,458000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2005,14000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2005,18847697.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2005,2133476.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2005,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2005,178000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2005,26000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2005,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2005,15216460.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2005,30058894.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2005,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2005,783000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2005,21000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2006,5180828.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2006,3062544.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2006,3990469.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2006,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2006,456000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2006,15000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2006,20047681.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2006,2676774.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2006,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2006,188000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2006,23000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2006,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2006,15964896.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2006,31319620.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2006,3000000.0
