Measure,Value,Unit,Economy,Source,Comments,Scope,Frequency,Date,Dataset
COVID Google Mobility Data - Grocery and pharmacy,0.06161290322580645,%,06_HKC,Google,,National,Monthly,2022-03-31,ATO
COVID Google Mobility Data - Retail and recreation,0.24,%,06_HKC,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Retail and recreation,0.2383870967741936,%,06_HKC,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Retail and recreation,0.2613333333333333,%,06_HKC,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Retail and recreation,0.1838709677419355,%,06_HKC,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Retail and recreation,0.1336666666666667,%,06_HKC,Google,,National,Monthly,2020-06-30,ATO
COVID Google Mobility Data - Retail and recreation,0.2629032258064516,%,06_HKC,Google,,National,Monthly,2020-07-31,ATO
COVID Google Mobility Data - Retail and recreation,0.3309677419354838,%,06_HKC,Google,,National,Monthly,2020-08-31,ATO
COVID Google Mobility Data - Retail and recreation,0.2083333333333333,%,06_HKC,Google,,National,Monthly,2020-09-30,ATO
COVID Google Mobility Data - Retail and recreation,0.1567741935483871,%,06_HKC,Google,,National,Monthly,2020-10-31,ATO
COVID Google Mobility Data - Retail and recreation,0.149,%,06_HKC,Google,,National,Monthly,2020-11-30,ATO
COVID Google Mobility Data - Retail and recreation,0.2670967741935484,%,06_HKC,Google,,National,Monthly,2020-12-31,ATO
COVID Google Mobility Data - Retail and recreation,0.2845161290322581,%,06_HKC,Google,,National,Monthly,2021-01-31,ATO
COVID Google Mobility Data - Retail and recreation,0.2385714285714286,%,06_HKC,Google,,National,Monthly,2021-02-28,ATO
COVID Google Mobility Data - Retail and recreation,0.1735483870967742,%,06_HKC,Google,,National,Monthly,2021-03-31,ATO
COVID Google Mobility Data - Retail and recreation,0.141,%,06_HKC,Google,,National,Monthly,2021-04-30,ATO
COVID Google Mobility Data - Retail and recreation,0.1038709677419355,%,06_HKC,Google,,National,Monthly,2021-05-31,ATO
COVID Google Mobility Data - Retail and recreation,0.09300000000000001,%,06_HKC,Google,,National,Monthly,2021-06-30,ATO
COVID Google Mobility Data - Retail and recreation,0.06838709677419355,%,06_HKC,Google,,National,Monthly,2021-07-31,ATO
COVID Google Mobility Data - Retail and recreation,0.03387096774193549,%,06_HKC,Google,,National,Monthly,2021-08-31,ATO
COVID Google Mobility Data - Retail and recreation,0.02066666666666667,%,06_HKC,Google,,National,Monthly,2021-09-30,ATO
COVID Google Mobility Data - Retail and recreation,0.0432258064516129,%,06_HKC,Google,,National,Monthly,2021-10-31,ATO
COVID Google Mobility Data - Retail and recreation,0.0003333333333333333,%,06_HKC,Google,,National,Monthly,2021-11-30,ATO
COVID Google Mobility Data - Retail and recreation,0.01741935483870968,%,06_HKC,Google,,National,Monthly,2021-12-31,ATO
COVID Google Mobility Data - Retail and recreation,0.1083870967741935,%,06_HKC,Google,,National,Monthly,2022-01-31,ATO
COVID Google Mobility Data - Retail and recreation,0.3046428571428572,%,06_HKC,Google,,National,Monthly,2022-02-28,ATO
COVID Google Mobility Data - Retail and recreation,0.41,%,06_HKC,Google,,National,Monthly,2022-03-31,ATO
COVID Google Mobility Data - Parks,0.13,%,06_HKC,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Parks,0.1570967741935484,%,06_HKC,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Parks,0.155,%,06_HKC,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Parks,0.1706451612903226,%,06_HKC,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Parks,0.1756666666666667,%,06_HKC,Google,,National,Monthly,2020-06-30,ATO
